"","Proteobacteria","Acidobacteriota","Verrucomicrobiota","Bacteroidota","Planctomycetota","Actinobacteriota","Chloroflexi","Methylomirabilota","Crenarchaeota","Firmicutes","Bacteria_unclassified","NB1-j","Armatimonadota","Myxococcota","Desulfobacterota","Elusimicrobiota","Cyanobacteria","Latescibacterota","Gemmatimonadota","Entotheonellaeota","Bdellovibrionota","Hydrogenedentes","Nitrospirota","Patescibacteria","MBNT15","Halobacterota","Nitrospinota","Spirochaetota","Euryarchaeota","FCPU426","RCP2-54","Campylobacterota","Nanoarchaeota","Thermoplasmatota","WPS-2","Sumerlaeota","Fibrobacterota","WS4","Cloacimonadota","Dadabacteria","Zixibacteria","WS1","WS2","Fusobacteriota","Abditibacteriota","Archaea_unclassified","Sva0485","Dependentiae","Deinococcota","SAR324_clade","GAL15","Deferrisomatota","Synergistota","Margulisbacteria","TA06","Asgardarchaeota","Calditrichota","10bav-F6","AncK6","Modulibacteria"
"0.721848749616356",8176,3247,2884,2173,18522,604,2254,89,82,23,699,30,213,840,64,3,59,35,186,9,92,20,2,54,5,3,1,4,1,0,2,0,8,2,23,2,4,0,0,1,0,0,0,0,7,0,2,0,8,3,3,1,0,3,0,0,0,0,0,0
"1.72184874961636",17374,2168,3048,4814,8845,759,869,84,34,51,474,46,96,965,183,8,25,42,166,8,168,17,14,100,15,1,2,19,0,0,13,2,2,1,7,4,2,0,0,0,0,0,0,0,3,0,2,1,6,5,0,0,0,0,0,0,0,0,0,0
"2.22184874961636",13221,4778,3450,2247,7079,2845,2638,163,324,120,772,84,508,598,323,27,82,71,430,15,173,82,45,210,54,6,5,9,6,3,13,0,8,0,8,14,2,2,0,1,0,0,2,0,0,0,3,11,3,4,0,4,0,0,0,0,0,0,0,0
"2.72184874961636",9851,6902,2762,2249,6759,3664,3014,366,324,106,809,144,409,1034,350,106,76,157,464,26,305,110,89,129,51,12,11,11,17,13,14,0,17,4,3,27,26,0,0,1,2,0,6,0,0,2,6,8,2,2,0,0,0,3,0,0,0,0,0,0
"4.22184874961636",10184,7896,2682,2230,5322,3877,2708,332,268,83,810,186,241,1309,443,177,218,177,407,31,181,170,96,83,83,3,11,6,10,37,26,0,13,4,4,32,56,0,0,0,2,1,3,0,0,1,2,18,1,5,0,3,0,10,0,0,0,0,1,0
"5.22184874961636",9020,8621,2472,2556,4691,3517,3290,356,316,68,1180,136,348,1115,440,78,383,266,413,9,285,160,106,228,72,13,12,0,5,52,16,0,59,4,15,58,40,0,0,7,2,0,7,0,0,2,4,4,2,4,4,0,0,6,0,0,1,0,0,0
"5.72184874961636",9098,6518,2640,2425,6077,4331,3101,387,853,170,874,199,176,1418,404,69,132,219,505,40,182,138,131,41,52,34,6,6,15,34,30,0,39,4,2,23,36,4,0,2,3,0,0,0,1,1,2,10,5,0,0,4,0,0,0,0,2,0,0,0
"6.22184874961636",7543,7816,3397,2577,8299,2881,2610,450,322,130,817,143,292,1079,315,198,185,174,326,20,261,117,102,121,48,16,15,8,5,27,24,0,19,4,4,33,34,0,0,2,2,1,6,0,0,3,5,4,3,1,3,1,0,0,0,0,0,0,0,0
"0.971848749616356",9254,2399,4034,3868,14178,1304,1184,133,166,43,900,73,343,1243,183,15,72,73,207,16,332,182,12,44,25,10,6,7,6,0,12,0,2,5,79,7,4,1,0,0,2,0,0,0,4,3,3,5,2,1,0,0,0,0,1,0,0,0,0,0
"1.97184874961636",11356,6685,3357,1457,8203,2422,2689,153,149,63,904,82,639,702,293,17,126,76,407,17,245,92,62,42,53,8,2,4,4,12,15,0,14,1,8,35,10,2,0,0,1,0,6,0,5,0,2,3,5,11,2,2,0,0,0,0,0,0,0,0
"2.47184874961636",11591,9413,2427,1728,4749,2744,2868,306,177,110,949,110,318,1016,395,69,108,165,384,28,230,114,114,62,61,7,11,11,6,15,20,0,17,4,8,44,13,1,1,8,3,0,7,0,3,0,6,13,3,4,0,1,0,0,0,0,0,0,1,0
"2.97184874961636",7656,6334,2969,2972,8825,3462,3434,284,326,105,888,129,370,808,199,34,224,192,259,11,209,86,58,302,30,12,10,7,7,105,6,0,30,5,11,33,15,6,0,0,0,0,5,0,1,1,5,15,0,2,0,0,0,0,0,0,1,0,0,0
"3.47184874961636",10397,5201,2794,3525,7508,2877,2639,212,329,132,1077,97,431,1152,282,38,286,170,376,14,267,102,101,151,56,10,4,5,11,69,15,0,32,2,10,25,10,0,0,6,2,0,10,0,2,3,8,2,0,2,0,1,0,0,0,0,0,0,0,0
"3.97184874961636",6575,8223,3318,1544,9650,3213,2741,432,269,147,1013,114,401,879,238,204,261,198,238,14,212,117,70,110,67,6,8,5,5,23,13,0,16,8,8,42,12,6,0,2,2,2,3,0,0,1,1,27,1,0,1,1,2,0,0,0,0,0,0,0
"4.97184874961636",6570,8908,3435,2331,8247,2158,3396,405,324,92,1219,110,299,955,219,40,323,292,277,15,206,65,45,199,33,16,4,18,9,57,18,1,62,2,13,25,13,4,0,1,4,0,10,0,0,1,5,13,2,1,1,0,0,0,0,0,0,0,0,0
"5.97184874961636",7016,7107,2562,1678,8508,4288,3790,327,255,163,1153,140,335,1086,346,399,173,117,294,28,245,104,48,43,43,3,8,5,17,23,16,0,20,1,3,39,15,7,0,5,2,1,13,0,0,0,7,7,0,1,1,1,0,0,0,0,0,0,0,0
"1.09684874961636",11327,1950,3888,3019,13348,1795,1157,141,280,102,980,93,178,966,225,2,76,67,264,8,261,113,24,23,34,17,5,13,16,0,6,0,4,2,37,4,1,0,0,1,2,0,0,0,0,0,0,8,3,2,0,1,0,0,0,0,0,0,0,0
"1.47184874961636",14259,2615,3428,1720,11912,1404,1453,136,99,65,758,93,196,792,265,16,132,59,350,8,332,137,18,8,43,1,3,24,3,0,10,0,16,1,41,11,2,1,0,1,0,0,0,0,4,0,3,7,13,1,0,3,0,0,0,0,0,0,0,0
"2.09684874961636",10418,4136,4707,2254,9694,2064,2607,100,290,97,700,56,472,582,175,7,569,93,357,5,341,73,60,431,17,2,3,48,11,7,3,0,20,3,13,6,3,3,0,4,1,0,4,0,1,0,3,2,1,0,0,0,0,0,0,0,0,0,0,0
"2.34684874961636",11025,6260,3766,2778,6971,2487,2628,163,152,83,1193,78,549,685,258,100,210,87,277,11,261,85,38,101,36,7,7,8,12,33,13,0,9,5,17,17,2,5,0,0,0,0,9,0,1,0,1,9,0,3,1,2,0,0,0,0,0,0,0,0
"2.84684874961636",7939,8130,3244,1895,7207,3116,3240,296,261,134,1329,115,402,1111,351,114,245,141,263,18,274,107,57,94,47,9,13,15,9,46,13,0,46,7,13,57,31,4,0,4,4,0,18,0,1,0,2,15,0,2,2,0,0,0,0,0,2,0,0,0
"3.09684874961636",8384,6698,2715,3099,8649,3194,2882,223,406,170,991,88,314,835,245,41,240,184,318,14,177,79,74,131,42,10,8,36,12,52,13,0,32,5,1,22,13,2,0,7,3,1,9,0,0,1,2,17,0,1,0,3,0,0,0,0,0,0,0,0
"3.34684874961636",8087,6966,3221,2915,8294,2863,2763,241,195,102,1133,110,293,1007,374,366,262,208,316,19,161,109,82,79,43,9,5,22,13,63,13,0,5,8,8,32,13,3,0,3,4,2,17,0,0,0,5,6,0,0,1,1,0,0,0,0,1,0,0,0
"3.59684874961636",9261,6063,2478,2248,7174,3200,3079,333,626,133,1472,137,381,1337,407,122,299,119,387,24,364,114,73,179,54,20,7,68,21,39,15,0,29,17,9,65,18,2,0,8,5,1,14,0,1,7,7,19,2,1,2,1,0,0,0,0,0,0,0,1
"3.84684874961636",5977,8641,2921,1426,10569,3162,3315,436,129,220,990,127,234,716,233,26,282,224,206,25,145,100,55,50,52,1,9,46,2,31,16,0,3,5,4,36,3,2,0,0,2,0,10,0,0,0,3,7,0,1,0,0,1,0,0,0,0,0,0,0
"-0.278151250383644",12554,4551,3858,2418,10510,2607,1235,228,63,180,457,107,65,538,141,8,26,73,188,26,279,119,39,23,25,6,4,48,3,4,17,0,7,2,8,5,4,2,1,1,0,0,0,0,0,0,6,6,0,0,0,0,0,0,1,0,0,0,0,0
"-0.0281512503836436",8941,3551,3054,3500,14965,2350,1717,294,217,144,335,83,44,473,73,7,25,82,174,18,151,62,20,23,9,16,6,26,19,2,6,0,8,2,19,7,0,1,0,0,0,1,1,0,0,3,3,4,1,0,3,1,1,0,0,1,0,0,0,0
"0.596848749616356",10643,3024,5616,4889,10918,1265,1082,167,61,151,596,78,145,839,127,5,84,106,122,14,205,92,14,14,22,6,8,29,4,1,12,0,4,2,57,16,4,2,2,0,1,3,0,0,0,0,4,4,2,2,1,0,0,0,0,0,0,0,0,0
"1.59684874961636",15211,1963,2573,3571,12262,1277,543,126,37,282,367,45,49,321,56,6,226,47,96,0,470,12,14,733,17,2,3,25,2,3,1,2,19,2,30,13,5,1,0,0,0,4,1,1,4,0,2,14,5,0,0,0,0,0,0,0,0,0,0,0
"1.84684874961636",15024,2100,4755,6312,6181,1448,1363,44,145,329,341,33,111,432,165,4,53,49,423,3,529,47,20,295,11,12,1,86,9,11,2,0,61,0,29,4,1,0,0,0,0,0,0,1,0,0,0,3,2,1,0,1,0,2,0,0,0,0,0,0
"4.34684874961636",8975,6191,3059,3006,7831,3554,2675,241,248,143,1004,117,292,986,357,63,435,135,270,16,308,81,40,60,55,14,8,88,5,50,19,0,16,5,12,41,13,0,0,3,3,0,9,0,0,0,0,11,0,2,1,1,0,0,0,0,0,0,0,0
"4.59684874961636",6199,9598,2864,2370,8983,2860,3370,312,412,182,931,70,230,598,221,19,169,131,263,11,194,62,45,83,22,18,13,36,18,35,19,0,17,10,21,25,4,4,1,4,3,1,2,0,0,0,4,6,1,0,2,0,0,0,0,0,0,0,0,0
"4.84684874961636",7537,7598,2405,1922,8021,4816,3519,309,212,256,919,120,207,1002,275,28,132,130,305,21,262,98,39,52,46,13,1,35,15,24,12,0,16,7,15,33,12,4,1,2,1,1,7,0,0,0,3,4,2,2,1,0,1,0,0,0,0,0,0,0
"5.09684874961636",8247,8301,2434,1755,6376,4166,3806,367,205,158,1175,147,288,1004,354,133,192,167,279,20,266,113,60,72,58,10,6,77,2,48,15,0,16,4,13,53,11,7,0,0,4,2,16,0,1,0,3,8,0,0,1,2,0,0,0,0,0,1,0,0
"5.84684874961636",7127,7435,2895,2544,8746,3025,3454,337,230,171,1075,135,282,1159,292,78,141,179,290,18,266,103,40,65,47,9,8,89,13,37,6,0,46,6,5,38,7,4,0,6,5,0,12,0,0,1,3,10,1,1,2,0,0,0,0,0,0,0,0,0
